gameId,season_year,home_win,home_team,home_last_5_win_pct,home_offensive_average,home_defensive_average,home_last_5_point_diff,away_season_year,away_home_win,away_team,away_last_5_win_pct,away_offensive_average,away_defensive_average,away_last_5_point_diff,win_pct_diff,offense_diff,defense_diff,point_diff_diff
22200850,2023,1,Atlanta Hawks,0.6,115.6,111.8,3.8,2023,1,San Antonio Spurs,0.0,113.4,126.8,-13.4,0.6,2.1999999999999886,-15.0,17.2
22200876,2023,0,Atlanta Hawks,0.4,118.8,120.2,-1.4,2023,0,New York Knicks,0.8,113.6,108.0,5.6,-0.4,5.200000000000003,12.200000000000003,-7.0
22200896,2023,1,Atlanta Hawks,0.4,117.4,119.0,-1.6,2023,1,Cleveland Cavaliers,0.6,110.6,107.6,3.0,-0.19999999999999996,6.800000000000011,11.400000000000006,-4.6
22200911,2023,1,Atlanta Hawks,0.6,123.2,119.6,3.6,2023,1,Brooklyn Nets,0.4,104.6,113.2,-8.6,0.19999999999999996,18.60000000000001,6.3999999999999915,12.2
22200923,2023,0,Atlanta Hawks,0.6,125.8,123.6,2.2,2023,0,Washington Wizards,0.4,111.4,111.8,-0.4,0.19999999999999996,14.399999999999991,11.799999999999997,2.6
22200947,2023,1,Atlanta Hawks,0.4,124.0,126.2,-2.2,2023,1,Portland Trail Blazers,0.2,112.6,123.4,-10.8,0.2,11.400000000000006,2.799999999999997,8.600000000000001
22201008,2023,0,Atlanta Hawks,0.6,120.4,117.0,3.4,2023,0,Boston Celtics,0.4,116.0,114.0,2.0,0.19999999999999996,4.400000000000006,3.0,1.4
22201021,2023,0,Atlanta Hawks,0.4,119.6,121.6,-2.0,2023,0,Minnesota Timberwolves,0.6,114.6,115.6,-1.0,-0.19999999999999996,5.0,6.0,-1.0
22201048,2023,1,Atlanta Hawks,0.4,120.8,125.4,-4.6,2023,1,Golden State Warriors,0.4,122.4,126.0,-3.6,0.0,-1.6000000000000085,-0.5999999999999943,-0.9999999999999996
22201078,2023,1,Atlanta Hawks,0.4,119.8,124.4,-4.6,2023,1,Detroit Pistons,0.2,105.8,113.2,-7.4,0.2,14.0,11.200000000000003,2.8000000000000007
22201107,2023,1,Atlanta Hawks,0.4,122.6,122.6,0.0,2023,1,Indiana Pacers,0.4,116.4,122.6,-6.2,0.0,6.199999999999989,0.0,6.2
22201115,2023,0,Atlanta Hawks,0.6,128.2,121.4,6.8,2023,0,Memphis Grizzlies,1.0,130.4,117.2,13.2,-0.4,-2.200000000000017,4.200000000000003,-6.3999999999999995
22201131,2023,1,Atlanta Hawks,0.4,126.6,122.2,4.4,2023,1,Cleveland Cavaliers,0.8,113.0,105.2,7.8,-0.4,13.599999999999994,17.0,-3.3999999999999995
22201167,2023,1,Atlanta Hawks,0.4,122.6,124.0,-1.4,2023,1,Dallas Mavericks,0.2,114.0,115.2,-1.2,0.2,8.599999999999994,8.799999999999997,-0.19999999999999996
22201191,2023,1,Atlanta Hawks,0.6,120.2,120.0,0.2,2023,1,Washington Wizards,0.2,116.0,119.8,-3.8,0.39999999999999997,4.200000000000003,0.20000000000000284,4.0
22201205,2023,0,Atlanta Hawks,0.8,123.2,118.6,4.6,2023,0,Philadelphia 76ers,0.6,108.2,113.0,-4.8,0.20000000000000007,15.0,5.599999999999994,9.399999999999999
42200113,2023,1,Atlanta Hawks,0.2,113.2,118.4,-5.2,2023,1,Boston Celtics,1.0,113.8,102.8,11.0,-0.8,-0.5999999999999943,15.600000000000009,-16.2
42200114,2023,0,Atlanta Hawks,0.4,113.0,115.6,-2.6,2023,0,Boston Celtics,0.8,118.8,110.2,8.6,-0.4,-5.799999999999997,5.3999999999999915,-11.2
42200116,2023,0,Atlanta Hawks,0.4,115.0,119.8,-4.8,2023,0,Boston Celtics,0.6,119.8,115.0,4.8,-0.19999999999999996,-4.799999999999997,4.799999999999997,-9.6
12300015,2023,1,Atlanta Hawks,0.4,119.2,123.0,-3.8,2023,1,Cleveland Cavaliers,0.2,94.2,99.6,-5.4,0.2,25.0,23.400000000000006,1.6000000000000005
12300028,2023,1,Atlanta Hawks,0.6,119.6,120.6,-1.0,2023,1,Memphis Grizzlies,0.6,109.4,113.0,-3.6,0.0,10.199999999999989,7.599999999999994,2.6
12300035,2023,1,Atlanta Hawks,0.6,114.2,116.6,-2.4,2023,1,New Orleans Pelicans,0.2,106.2,116.6,-10.4,0.39999999999999997,8.0,0.0,8.0
22300079,2023,0,Atlanta Hawks,0.4,108.2,111.8,-3.6,2023,0,New York Knicks,0.2,109.2,118.0,-8.8,0.2,-1.0,-6.200000000000003,5.200000000000001
22300104,2023,1,Atlanta Hawks,0.2,115.0,117.6,-2.6,2023,1,Minnesota Timberwolves,0.8,107.8,100.0,7.8,-0.6000000000000001,7.200000000000003,17.599999999999994,-10.4
22300117,2023,1,Atlanta Hawks,0.4,118.0,117.0,1.0,2023,1,Washington Wizards,0.4,113.8,123.0,-9.2,0.0,4.200000000000003,-6.0,10.2
22300175,2023,0,Atlanta Hawks,0.8,123.4,116.8,6.6,2023,0,Miami Heat,0.6,111.2,110.8,0.4,0.20000000000000007,12.200000000000003,6.0,6.199999999999999
22300193,2023,0,Atlanta Hawks,0.6,119.0,117.4,1.6,2023,0,New York Knicks,0.6,113.8,106.6,7.2,0.0,5.200000000000003,10.800000000000011,-5.6
22300029,2023,0,Atlanta Hawks,0.4,117.2,119.6,-2.4,2023,0,Philadelphia 76ers,0.6,118.0,116.8,1.2,-0.19999999999999996,-0.7999999999999972,2.799999999999997,-3.5999999999999996
22300039,2023,0,Atlanta Hawks,0.4,117.0,119.6,-2.6,2023,0,Indiana Pacers,0.6,126.8,126.6,0.2,-0.19999999999999996,-9.799999999999997,-7.0,-2.8000000000000003
